Network Name,Network_id,Site ID,Start Date,End Date,Sensor Type,Sensor Depth (cm),Number of senor,Landscape,Organic (%),Bulk Dry Density (g/cm2),Clay (%),Sand (%),Silt (%),Textural Group,Soil Type,Descriptive Soil Type,Coordinates_Lat,Coordinates_Lon,Elevation (m),Slope (%),Dominant Tree Type,Vegetaion Cover,Lichen/Moss /Litter Depth (cm),Duff (cm),Other note
James Bay,BJ,BJ01,2020-08-26,2022-06-30,TEROS 12,5,1,Boreal Forest,,,,,,,,moist organic soil - poorly drained,53.381983,-75.030167,387,,spruce and pine with labrador tea,dense lichen,10,10,
James Bay,BJ,BJ02,2020-08-26,2022-06-30,TEROS 12,5,1,Boreal Forest,12.45,0.46,1.7,56,42.6,Sandy Loam,Mineral ,undrained organic soil (peat type),53.353967,-75.012633,410,,semi dense black spruce ,lichen,10.5,4,
James Bay,BJ,BJ03,2021-08-01,2022-05-31,TEROS 12,5,1,Boreal Forest,,,,,,,,undrained organic,53.3232,-75.010983,410,,sparse black spruce,lichen,9.5,6,
James Bay,BJ,BJ04,2020-08-26,2022-06-30,TEROS 12,5,1,Boreal Forest,9.55,0.44,2,43,55.5,Loam,Mineral ,organic,53.293883,-75.0109,376,,dense black spruce,lichen,9,6,
James Bay,BJ,BJ05,2020-08-26,2021-05-08,TEROS 12,5,1,Boreal Forest,87.2,0.07,4.5,13.6,81.9,Silt Loam,Organic,"organic on the surface, silty in depth, sandy tilt, drained",53.266383,-75.0116,341,,black spruce,semi dense lichen,15.5,4.5,
James Bay,BJ,BJ06,2021-08-01,2022-06-15,TEROS 12,5,1,Boreal Forest,9.35,0.73,1,62,37.4,Sandy Loam,Mineral ,organic first 5 cm; tilt silt drained at depth; bedrock near the surface,53.23765,-75.012133,340,,semi dense spruce,lichen,4,4.5,
James Bay,BJ,BJ07,,,TEROS 12,5,1,Boreal Forest,,,,,,,,"organic, poorly drained",53.21205,-75.012667,394,,semi dense spruce,lichen,10.5,12.5,No data available from this site due to probe malfunction.
James Bay,BJ,BJ08,2020-08-26,2021-06-30,TEROS 12,5,1,Boreal Forest,,,,,,,,"organic over 5 cm, drained loamy and sandy below",53.408667,-74.993483,345,,"semi dense jack pine, labrador tea",lichen,15,4.5,
James Bay,BJ,BJ09,2020-08-26,2021-06-30,TEROS 12,5,1,Boreal Forest,,,,,,,,"5 cm organic, poorly drained sandy loam at depth",53.40615,-74.976667,334,,sparse black spruce and jack pine,lichen,6.5,10,
Montmorency Forest,FM,FM203,2020-10-01,2023-07-06,TEROS 12,5,1,Boreal Forest,12.7,0.71,1.3,57.1,41.6,Loam,Mineral ,,47.293868,-71.162545,843,,,,,,
Montmorency Forest,FM,FM212,2020-10-01,2023-06-30,TEROS 12,5,1,Boreal Forest,19,0.58,1.1,63.1,35.8,Sandy Loam,Mineral ,,47.294063,-71.164092,840,,,,,,
Montmorency Forest,FM,FM219,2020-10-01,2024-06-30,TEROS 12,5,1,Boreal Forest,45.75,0.32,2,44.1,53.9,Loam,Organic,,47.291733,-71.168632,810,,,,,,
Montmorency Forest,FM,FM304,2020-10-01,2023-06-27,TEROS 12,5,1,Boreal Forest,45.2,0.19,2.1,36.7,61.2,Silt Loam,Organic,,47.296268,-71.162774,855,,,,,,
Montmorency Forest,FM,FM307,2020-10-01,2022-06-15,TEROS 12,5,1,Boreal Forest,23.95,0.35,1.6,53.5,44.9,Loam,Mineral ,,47.294827,-71.164036,850,,,,,,
